neutral_smiles,smiles,protonation_site_index,protonation_site_element,molecule_type,chunk,heat_of_formation,dipole_x,dipole_y,dipole_z,dipole_moment,alpha_somo_ev,alpha_lumo_ev,beta_somo_ev,beta_lumo_ev,homo_ev,lumo_ev,gap_ev,spin_state,ionization_potential,cosmo_area,cosmo_volume,molecular_weight,point_group,charge,alpha_electrons,beta_electrons,unpaired_electrons,multiplicity,total_energy_kcal_mol,total_energy_ev,computation_time,success,num_atoms,input_charge,site_index,site_element,parent_neutral
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])[n+]([H])c3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],8,N,protonated,results_chunk_10_of_10,33.37685,8.228,0.841,-6.293,10.393,-13.086,-4.757,-13.086,-4.757,-13.086,-4.757,8.329,open_shell,13.086399,253.88,285.86,268.2517,C1,1,51,51,0,1,33.37685,1.4473203465499997,6.47,True,33,1,8,N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c([N+]([H])([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],18,N,protonated,results_chunk_10_of_10,49.52948,9.306,8.511,-0.672,12.628,-13.262,-5.071,-13.262,-5.071,-13.262,-5.071,8.191,open_shell,13.262164,261.89,286.31,268.2517,C1,1,51,51,0,1,49.52948,2.14774684124,6.166,True,33,1,18,N,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c(N([H])[H])[n+]([H])c32)[C@]([H])(O[H])[C@]1([H])O[H],14,N,protonated,results_chunk_10_of_10,-7.9033,1.944,-3.552,-10.563,11.312,-12.946,-4.608,-12.946,-4.608,-12.946,-4.608,8.338000000000001,open_shell,12.9458,267.22,299.84,284.2511,C1,1,54,54,0,1,-7.9033,-0.3427107979,5.496,True,34,1,14,N,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,[H]O[C@@]1([H])C([H])([H])[C@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)O[C@]1([H])C([H])([H])[O+]([H])[H],14,O,protonated,results_chunk_10_of_10,28.94314,12.799,7.297,-0.145,14.734,-12.16,-4.889,-12.16,-4.889,-12.16,-4.889,7.271,open_shell,12.160131,236.53,254.68,228.2273,C1,1,44,44,0,1,28.94314,1.2550613798199999,2.559,True,30,1,14,O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,[H]OC([H])([H])[C@@]1([H])[O+]([H])[C@@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)C([H])([H])[C@]1([H])O[H],3,O,protonated,results_chunk_10_of_10,-6.414,3.051,-2.328,2.0,4.328,-13.62,-4.633,-13.62,-4.633,-13.62,-4.633,8.986999999999998,open_shell,13.61999,232.56,250.78,228.2273,C1,1,44,44,0,1,-6.414,-0.278130282,3.036,True,30,1,3,O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c(N([H])[H])[n+]([H])c2=O)C([H])([H])[C@]1([H])O[H],9,N,protonated,results_chunk_10_of_10,-8.48554,11.674,2.869,-1.076,12.07,-13.237,-5.223,-13.237,-5.223,-13.237,-5.223,8.014,open_shell,13.236971,234.59,255.05,228.2273,C1,1,44,44,0,1,-8.48554,-0.36795847102,3.122,True,30,1,9,N,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c(N([H])[H])nc2=O)C([H])([H])[C@]1([H])[O+]([H])[H],15,O,protonated,results_chunk_10_of_10,24.54936,-0.09,-10.682,-2.772,11.036,-12.728,-5.334,-12.728,-5.334,-12.728,-5.334,7.394,open_shell,12.727909,229.92,252.65,228.2273,C1,1,44,44,0,1,24.54936,1.06453389768,2.663,True,30,1,15,O,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(N([H])[H])nc([H])nc32)[C@]([H])(O[H])[C@]1([H])[O+]([H])[H],16,O,protonated,results_chunk_10_of_10,29.93415,2.533,1.535,1.799,3.465,-13.138,-4.853,-13.138,-4.853,-13.138,-4.853,8.285,open_shell,13.138144,261.89,289.68,268.2517,C1,1,51,51,0,1,29.93415,1.2980345464499998,8.313,True,33,1,16,O,C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N
C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])c([H])c([N+]([H])([H])[H])nc2=O)C([H])([H])[C@]1([H])O[H],12,N,protonated,results_chunk_10_of_10,15.74665,16.288,-1.007,0.396,16.324,-13.003,-5.205,-13.003,-5.205,-13.003,-5.205,7.798,open_shell,13.003306,231.02,254.13,228.2273,C1,1,44,44,0,1,15.74665,0.68282198395,3.555,True,30,1,12,N,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O
C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N,[H]OC([H])([H])[C@@]1([H])O[C@@]([H])(n2c([H])nc3c(=O)n([H])c([N+]([H])([H])[H])nc32)[C@]([H])(O[H])[C@]1([H])O[H],19,N,protonated,results_chunk_10_of_10,8.35931,2.926,10.366,2.094,10.973,-12.864,-4.906,-12.864,-4.906,-12.864,-4.906,7.958000000000001,open_shell,12.864243,260.26,298.05,284.2511,C1,1,54,54,0,1,8.35931,0.36248475953000003,5.665,True,34,1,19,N,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)N=C(NC2=O)N
